1,Elon Musk meme of the day
2,Elon musk is the nikolas Tesla of our era
3,"1. Would you buy Tesla without Elon Musk? 
2. Would Apple buy Tesla without Elon Musk? 
3. Would Elon Musk work at Appl…"
4,Elon Musk sees a future for Tesla in China
5,Elon Musk unveils Tesla's new Cybertruck
6,Why Tesla and Elon Musk are the best  #tesla #elonmusk #nicetry #teslamodelY
7,Elon Musk’s Tesla Cybertruck is as polarizing as expected
8,Here at ....you think Elon Musk is stealing Tesla’s name? Educate yourself....it was Elon Musk who sought to pr…
9,Elon Musk's surprise Tesla announcement
10,I’m waiting for Elon Musk to say SIKEEE  wdf is thaat?! #Cybertruck #Tesla
11,Elon Musk: Low-priced Tesla coming to the U.S.
12,"A new Tesla doesn't come with the new car smell...

It comes with an Elon Musk."
13,"New post: ""Tesla: Elon Musk Borrowing Update"""
14,"New post: ""Elon Musk Is Gambling With Tesla's Future"""
15,Elon Musk says Tesla “might get into mining”
16,Another Tesla skeptic joins the critics of Elon Musk
17,"Not sure who needs to hear this, but:

Elon Musk makes $40,668 for every $1 that the median Tesla worker makes. Elon Musk i…"
18,Lol Elon Musk crashed or you crashed
19,Tesla Pickup truck: decoding Elon Musk's teaser
20,When Elon Musk Tried to Destroy a Tesla Whistleblower
21,Tesla CEO Elon Musk’s year in one chart
22,Elon Musk just announced the new #TeslaModelY #Tesla
23,Elon Musk: There is not a demand problem for the Tesla Model 3
24,Elon Musk picks Berlin for Tesla’s Europe Gigafactory
25,Elon Musk says Tesla truck to debut November
26,"New post: ""Elon Musk tweets on Tesla production (again)"""
27,Bought some Tesla stock word to my guy Elon Musk
28,Elon Musk Unveils Tesla's Cybertruck (and ATV)
29,Oops - Tesla's Elon Musk may be in contempt over tweet
30,"""Elon Musk unveils Tesla’s Cyber-School Bus"""
31,Elon Musk set a date for the debut of Tesla’s first pickup
32,Niggas think Elon Musk up at 3am putting tires on Tesla’s
34,"hahahahahajajjahssjj 

this is tesla’s stock right after the coup in Bolivia. fuck Tesla, Elon Musk is a “green” capital…"
35,Gonna tell my kids this was Elon Musk and the Tesla cybertruck
36,Elon Musk says Tesla will be unaffordable in India due to duty
37,Elon Musk visited China and won a tax break for Tesla
38,Tesla’s Elon Musk Is the New Elder Statesman of the Auto Industry
39,"Tesla, Elon Musk violated labor laws, judge rules"
40,Elon Musk: Spotify is “coming” to Tesla vehicles in North America
42,Tesla Cybertruck: Elon Musk's Pickup Truck Has Arrived
43,Elon Musk gives everybody a BTS of the Tesla factory
44,"Elon Musk Says Tesla's Pickup Will Be On Offer For Less Than $50,000"
45,"Tesla Offers a $35,000 Model 3, as Elon Musk Long Promised"
46,Why Elon Musk's Gigafactory is the key to Tesla's future
47,Watch Elon Musk unveil the  #ModelY SUV
48,"New post: ""Tesla: Elon Musk Moves The Goal Posts, Again"""
49,Elon Musk just announced the new Tesla Cybertruck
50,"Elon Musk just tweeted that Tesla will produce ~500k vehicles in 2019.
In today's Tesla 10-K, Tesla claims it will produce…"
51,Elon Musk's Tesla Truck Unveiling Goes Awry with Shattered Glass
52,I remember Elon Musk tweeting buying a Tesla is like an investment for the future :-)
53,Elon Musk says Tesla vehicles will soon get a ‘Sentry Mode’
54,"Tesla Autopilot will be able to avoid potholes on the road, says Elon Musk"
55,Got a Tesla? Elon Musk hints it could soon drive itself
56,"Teslas will soon be able to stream Netflix and Hulu, Elon Musk says"
57,Tesla’s Elon Musk praises Ford on new electric Mustang SUV
58,Elon Musk in Shanghai.
59,Elon Musk unveils Tesla's latest passenger vehicle in Los Angeles
60,Elon Musk presents the new Tesla Cybertruck Launch
61,Tesla's Elon Musk debated Alibaba’s Jack Ma in China. The audience was spellbound
62,Hearing about Elon Musk - and not following Elon Musk or touching/looking at Elon Musk's twitter account firsthand…
63,Watch Elon Musk announce the Tesla Cybertruck in 14 minutes
64,Elon Musk: New Tesla Roadster will use thrusters to float above the ground
65,Tesla's Elon Musk: We're 'Summoning the Demon' with Artificial Intelligence
66,Tesla's Elon Musk says Shanghai factory breaking ground
67,"Tesla will unveil new Model Y SUV this month, Elon Musk says"
68,Elon Musk's SpaceX is now worth more than Tesla
69,"New post: ""Tesla: Elon Musk Has Embraced Competition, But Things Are Changing"""
70,Elon Musk could face contempt charge over 'inaccurate' Tesla tweet
71,"Elon musk: vans is up to something...

Elon Musk:"
72,Elon Musk is an asshole.
73,Elon Musk
74,Elon Musk finally turned to Evil Elon Musk.
75,ICYMI — video of elon musk unveiling the new tesla cybertruck
76,Tesla continues to lose top executives in the midst of Elon Musk's deliveries push
77,"Elon Musk dials back Tesla production forecast, hours after making it"
78,"Included with every new Tesla car, an airfreshener on the rear view mirror. They call it Elon Musk."
79,Elon Musk breaks ground on Tesla's Shanghai factory
80,UK cave diver sues Tesla's Elon Musk for calling him a pedophile
81,Elon Musk says Tesla will develop an 'electric leaf blower'
82,Tesla Electric Airplane? Elon Musk sees electric aircraft in 5 years
83,Elon Musk reveals plans for 'compelling'  #insurance program -
84,Elon Musk Blindsided Tesla Staff With Store-Closing Plans
85,Elon Musk warns of Tesla Self-Driving price increase as they sit on half a billion in unrecognized revenue #Tesla
86,Also Elon Musk didn't start Tesla. He did nearly run it into the ground though.
87,Elon Musk's #Tesla to shut stores and sell cars for cheaper as it battles for survival
88,"Sheryl Crow’s Tesla screen goes dark, Elon Musk saves the day"
89,It’s Elon Musk vs. everyone else in the race for fully driverless cars #Tesla
90,"""Anyone relying on LIDAR is doomed,"" Elon Musk says"
91,"""Tesla Motors was created to accelerate the advent of sustainable transport,"" Elon Musk said. ""If..."
92,"Tesla 'dog mode' will stop pets overheating in cars, Elon Musk says."
93,"Elon Musk's 2020 vision for Tesla, and other top business news - CityNews:"
94,2018’s car-inspired baby names include Elon Musk's Tesla
95,Tesla and SpaceX cofounder Elon Musk has some fancy tech at home.
96,Elon Musk’s Nevada Tesla site has a cocaine problem
97,Elon Musk is a genious!
98,"BREAKING: Tesla CEO Elon Musk says that the company won't turn a profit in the 1st quarter, but he expects Tesla to retur…"
99,"Elon Musk's TED2017 talk: views on the future (including Tesla and SpaceX, of course)"
100,Elon Musk And The Tesla Automation Strategy: A Disruptor In Vehicle Safety Or Not? via
101,Porsche Unveils Taycan Electric Car to Rival Tesla and Elon Musk - Bloomberg
102,Elon Musk says Tesla’s new Model S prototype is a 7 seater
103,Elon Musk updates Tesla pickup and semi truck timelines
104,Elon Musk reveals the Tesla vehicles he currently drives
105,Elon Musk: Tesla will ‘most likely’ begin computer chip upgrades this year
106,Elon Musk will reveal Tesla’s ‘Cybertruck’ all-electric pickup on Nov. 21
107,Week-in-Review: E3’s forever franchises and Elon Musk’s submersible Tesla
108,Elon Musk promises to take Tesla Model S to ‘Plaid’ with new powertrain
109,Elon Musk Announces Tesla 'Cybertruck' Reveal Date With 'Blade Runner' Reference
110,Brilliant! - Elon Musk unveils Tesla’s Cyber-School Bus -
111,Elon Musk's Tesla Truck Unveiling Disaster NOT FAKE and Elon was Upset
112,"Elon Musk: 150,000 orders for Tesla cybertruck despite disastrous launch"
113,Elon Musk says Tesla robotaxis will hit the market next year
114,SEC wants #Tesla CEO Elon Musk held in contempt for tweeting
115,Elon Musk says Tesla vehicles will soon get a 'Sentry Mode'
117,Elon Musk on Tesla's self-driving capabilities
118,Elon Musk: New Tesla model coming March 14
119,Forbes: Why Elon Musk should list Tesla in Germany:
120,"New post: ""Elon Musk's Loans Could Smash Tesla Share Price Soon"""
121,Elon Musk sets a date for Tesla's 'Blade Runner' inspired pickup truck debut
122,"Elon Musk unveils Tesla's electric truck, er cybertruck."
123,"Elon Musk: camera inside Teslas is ""meant for Robotaxi"" mode. (Futurism) #AutoIndustry #AV"
124,"$TSLAQ $TSLA 
SCOOOOP!!! 

Tesla whistleblower Karl Hansen just filed a federal lawsuit against Elon Musk, Tesla, e…"
125,"On ""Tesla Autonomy Day"" (Mon, April 22, 2019) Elon Musk reiterated that #L…"
126,"Tesla’s Elon Musk is currently the auto industry’s most tenured CEO 
Via ⁦⁩ 
$TSLA #Tesla"
127,Tesla to cut 7% of jobs as Elon Musk warns the ‘road ahead is very difficult’
128,Tesla's Elon Musk introduces new 'Solar Glass Roof'
129,Elon Musk corrects a prediction for the number of cars Tesla will produce in 2019
130,"Elon Musk leaves OpenAI research group to focus on Tesla, SpaceX"
131,BBC News - Tesla Cybertruck: Elon Musk's new vehicle smashed during demo
132,"[Oct. 24, 2019] Quartz: Tesla's profitable quarter netted $2 billion for Elon Musk #Tesla #ElonMusk #electriccar #electric…"
133,"Elon Musk is and always has been Edison, not Tesla 

Even the part where he used Tesla's name to piggyback on his reputa…"
134,Has Mainstream Media Been Fair To Elon Musk &amp; Tesla?
135,Tesla to cut thousands of jobs as Elon Musk warns the ‘road ahead is very difficult’
136,Tesla Electric Airplane? Elon Musk sees electric aircraft in 5 years - Electrek
137,"While Elon Musk Tweets Can Be Stupid, We Should Hope Tesla Succeeds"
138,Elon Musk recognizes hackers who altered Tesla Autopilot behavior
139,Tesla's board probed an allegation that Elon Musk pushed an employee in a September incident but concluded there was no “phys…
140,Tesla shares rise after Elon Musk says there is no demand problem $TSLA #stocks
141,These idiots shot a porno in an Autopilot-enabled Tesla and Elon Musk deserves some blame
142,"Tesla CEO Elon Musk surprises Flint students with visit, laptops"
143,Elon Musk's one more thing at the Tesla #Cybertruck event...an ATV
144,Elon's Musk with a Moustache — It's just an Elon's Musk air freshener with a moustache
145,Elon Musk Promises a Really Truly Self-Driving Tesla in 2020
146,"Elon Musk: About 150,000 orders thus far for Tesla Cybertruck - Toronto Sun:"
147,"Elon Musk:  is making an ""armored personnel carrier"". (Futurism)"
